cytoband	3q26.33	8p11.23	11q13.3	8q24.21	4q12	7p11.2	2p16.1	5p15.33	9p13.3	19q13.2	19q12	1q21.2	20q11.21	22q11.21	2q31.2	15q26.3	7q21.2	12q15	17q25.1	5p12	18q11.2	12p13.33	13q34	6q12	14q13.3	6p12.1	Xq28	18p11.32	14q32.33	20p12.2	
q value	6.2505e-200	1.2933e-82	5.606e-77	3.4304e-28	4.8768e-18	2.7945e-17	6.5608e-17	3.3442e-18	1.2335e-10	5.9091e-25	5.1112e-16	1.6618e-06	1.8626e-05	2.9109e-05	3.7284e-05	8.9503e-05	0.00014412	0.00092392	0.001059	3.0539e-09	0.0018911	0.0059474	0.0083174	0.00048569	0.0075183	0.0022695	0.08275	0.19322	0.064655	0.24004	
residual q value	6.2505e-200	1.2933e-82	5.606e-77	3.4304e-28	4.8768e-18	3.5196e-17	6.5608e-17	1.0187e-12	1.2335e-10	2.6275e-10	3.258e-07	1.6618e-06	1.8626e-05	2.9109e-05	3.7284e-05	8.9503e-05	0.0001592	0.00092392	0.001059	0.001765	0.0018911	0.0059474	0.0083174	0.0088629	0.023379	0.077239	0.08275	0.19322	0.20759	0.24004	
wide peak boundaries	chr3:181401404-182481981	chr8:38170522-38247105	chr11:69699947-70248899	chr8:128297257-128423649	chr4:56246865-56507740	chr7:54781785-55694877	chr2:60529126-61267829	chr5:1-1428010	chr9:35109573-36060450	chr19:38271451-39302021	chr19:30287570-30465652	chr1:120523956-153556563	chr20:26197900-30564096	chr22:18613558-22141228	chr2:178083264-178154838	chr15:98033377-102531392	chr7:91474555-93654751	chr12:67206671-71365953	chr17:70468942-76301198	chr5:32992360-50133343	chr18:23753292-24419705	chr12:1-3480534	chr13:113773700-114847012	chr6:63706479-65073682	chr14:36625634-38262673	chr6:54187909-56484757	chrX:147462113-155270560	chr18:1-923766	chr14:98935959-107349540	chr20:11194380-11393881	
genes in wide peak	RN7SKP265	WHSC1L1	MIR548K	CASC8	RN7SKP30	SNORA73|ENSG00000252054.1	RNA5SP95	MIR4635	LINC00961	ACTN4	CCNE1	RN7SL44P	XKR7	RN7SL280P	MIR3128	DDX11L9	GNG11	MYRFL	FLJ45079	HCN1	U3|ENSG00000265369.2	FKBP4	LINC00565	FKBP1C	SNORA42|ENSG00000200385.1	FAM83B	WASH6P|ENSG00000182484.10	RN7SKP146	RNA5SP389	[C20orf187]	
	RNA5SP150	LETM2	CTTN		CLOCK	EGFR	RN7SL632P	ZDHHC11B	RGP1	SPRED3	URI1	S100A7L2	LINC00028	RN7SKP221	NFE2L2	WASH3P	MIR489	RN7SL804P	LINC00338	RN7SL383P	U3|ENSG00000252921.1	CBX3P4	LINC00452	PTP4A1	TTC6	BMP5	WASIR1|ENSG00000185203.7	CETN1	LINC00221		
	RN7SL703P		PPFIA1		NMU	SEC61G	RN7SL361P	CCDC127	RN7SL22P	snoU13|ENSG00000238838.1		SPRR2B	DEFB122	SCARNA18|ENSG00000252605.1	HNRNPA3	FAM138E	MIR653	SLC35E3	LINC00868	FGF10	TAF4B	CACNA1C	LINC00453	PHF3	MIR4503	DST	F8A3	ROCK1P1	LINC00226		
	SOX2		FADD		TMEM165	LANCL2	PEX13	LRRC14B	RMRP	RN7SL663P		SNORA31|ENSG00000252920.1	SNORA40|ENSG00000212134.1	SCARNA17|ENSG00000252143.1		OR4F13P	RN7SL7P	SNORA70G	MIR636	CCL28	PSMA8	LINC00940	LINC00454	LGSN	SLC25A21	HCRTR2	F8A2	ADCYAP1	ADAM6		
			ANO1		PDCL2	VOPP1	REL	PLEKHG4B	MIR4667	LGALS4		LINC00302	RNA5SP480	snoU13|ENSG00000252799.1		RN7SL209P	GATAD1	DYRK2	SNORD1B	ANXA2R	KCTD1	LINC00942	GRK1	EYS	RN7SKP257	TINAG	FUNDC2	TYMS	KIAA0125		
							BCL11A	SDHA	CA9	LGALS7		NBPF18P	BCL2L1	TMEM191C		DNM1P47	CALCR	CAND1	SNHG16	SNORD72		RN7SL852P	DCUN1D2		DPPA3P2	HMGCLL1	SNORA56	YES1	IGHJ1		
							PAPOLG	SLC6A3	CD72	PSMD8		THEM4	FOXS1	snoU13|ENSG00000252402.1		snoU13|ENSG00000238502.1	KRIT1	CPM	PRCD	RPL37		RNU4ATAC16P	ATP4B		RN7SKP21	COL21A1	SNORA36A	USP14	IGHJ2		
