Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
TCGA-2F-A9KO-01A-11D-A38F-01	1	3218610	114237283	63620	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	1	114239881	118939811	2972	0.643043
TCGA-2F-A9KO-01A-11D-A38F-01	1	118942137	120365753	838	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	1	120373410	188448304	24013	0.674372
TCGA-2F-A9KO-01A-11D-A38F-01	1	188456062	189197433	415	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	1	189199448	201198958	6891	0.679567
TCGA-2F-A9KO-01A-11D-A38F-01	1	201199649	244888801	28583	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	1	244890696	247812431	1264	0.667337
TCGA-2F-A9KO-01A-11D-A38F-01	2	484222	116877095	60735	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	2	116890693	117030483	52	-0.651759
TCGA-2F-A9KO-01A-11D-A38F-01	2	117032858	134156255	8112	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	2	134161286	134213436	39	-0.382161
TCGA-2F-A9KO-01A-11D-A38F-01	2	134220481	141656541	4105	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	2	141656931	141771911	83	-0.589809
TCGA-2F-A9KO-01A-11D-A38F-01	2	141771962	242476062	57662	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	3	2212571	19403596	10244	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	3	19404630	19947296	251	-0.463551
TCGA-2F-A9KO-01A-11D-A38F-01	3	19948363	47787460	16196	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	3	47799755	89924759	23832	-0.284772
TCGA-2F-A9KO-01A-11D-A38F-01	3	89925422	89975054	17	-0.808613
TCGA-2F-A9KO-01A-11D-A38F-01	3	89983403	90485962	129	-0.284772
TCGA-2F-A9KO-01A-11D-A38F-01	3	93734671	101859886	4183	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	3	101866495	102757938	427	-0.476489
TCGA-2F-A9KO-01A-11D-A38F-01	3	102763706	197538677	50668	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	4	1053934	64839012	35027	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	4	64841337	67129353	1321	-0.372664
TCGA-2F-A9KO-01A-11D-A38F-01	4	67137858	116613511	27432	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	4	116620414	116902938	80	-0.454900
TCGA-2F-A9KO-01A-11D-A38F-01	4	116905387	117640187	431	-0.894499
TCGA-2F-A9KO-01A-11D-A38F-01	4	117642359	121416476	2171	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	4	121417503	137132272	7717	0.524330
TCGA-2F-A9KO-01A-11D-A38F-01	4	137143104	138524098	762	-0.237651
TCGA-2F-A9KO-01A-11D-A38F-01	4	138524335	138735473	158	-0.946457
TCGA-2F-A9KO-01A-11D-A38F-01	4	138742423	161938828	13277	-0.237651
TCGA-2F-A9KO-01A-11D-A38F-01	4	162008397	179275228	9399	0.469858
TCGA-2F-A9KO-01A-11D-A38F-01	4	179275269	180286262	321	-0.589702
TCGA-2F-A9KO-01A-11D-A38F-01	4	180289086	188762240	4026	0.239578
TCGA-2F-A9KO-01A-11D-A38F-01	5	914233	1300584	59	0.000000
TCGA-2F-A9KO-01A-11D-A38F-01	5	1308552	2651199	708	-0.358723
TCGA-2F-A9KO-01A-11D-A38F-01	5	2652235	5125152	1999	0.000000
